term	n	Group	Umbrella
exercises for spasticity	7	Spasticity	Spinal cord disorders 
familial hypokalaemic periodic paralysis	30	Paralytic symptoms	Paralysis
familial periodic paralysis	6	Paralytic symptoms	Paralysis
flaccid hemiplegia	2	Paralytic symptoms	Paralysis
flaccid infantile cerebral palsy	1	Cerebral palsy	Cerebral palsy
flaccid paraplegia	9	Paralytic symptoms	Paralysis
flaccid tetraplegia	1	Paralytic symptoms	Paralysis
general paralysis of insane	1	Paralytic symptoms	Paralysis
gross motor function classification system cerebral palsy	1	Cerebral palsy	Cerebral palsy
hemiplegia	386	Paralytic symptoms	Paralysis
hemiplegia nos	78	Paralytic symptoms	Paralysis
hereditary spastic paraplegia	43	Spinal cord disorders 	Spinal cord disorders 
hysterical paralysis	13	Paralytic symptoms	Paralysis
infantile cerebral palsy	63	Cerebral palsy	Cerebral palsy
infantile hemiplegia nos	21	Paralytic symptoms	Paralysis
l'episcopo operation for obstetric palsy	1	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
left hemiplegia	165	Paralytic symptoms	Paralysis
lower limb spasticity	127	Spasticity	Spinal cord disorders 
lumbar disc prolapse with cauda equina compression	36	Cauda equina syndrome	Spinal cord disorders 
massive muscular calcification associated with paraplegia	1	Paralytic symptoms	Paralysis
monoplegia of lower limb	5	Paralytic symptoms	Paralysis
monoplegia of upper limb	10	Paralytic symptoms	Paralysis
monoplegia unspecified	3	Paralytic symptoms	Paralysis
o/e - diplegia	49	Paralytic symptoms	Paralysis
o/e - gait spastic	3	Spasticity	Spinal cord disorders 
o/e - hemiplegia	34	Paralytic symptoms	Paralysis
o/e - monoplegia	2	Paralytic symptoms	Paralysis
o/e - paralysis	9	Paralytic symptoms	Paralysis
o/e - paralysis nos	1	Paralytic symptoms	Paralysis
o/e - paraplegia	17	Paralytic symptoms	Paralysis
o/e - quadriplegia	663	Paralytic symptoms	Paralysis
o/e - spastic gait	2	Spasticity	Spinal cord disorders 
other cerebral palsy	2	Cerebral palsy	Cerebral palsy
other infantile cerebral palsy nos	17	Cerebral palsy	Cerebral palsy
other specified brachial plexus palsy due to birth trauma	1	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
paralysis following electric shock	9	Paralytic symptoms	Paralysis
paralysis nos	81	Paralytic symptoms	Paralysis
paralysis present	23	Paralytic symptoms	Paralysis
paraplegia	955	Paralytic symptoms	Paralysis
paraplegia - congenital	1	Paralytic symptoms	Paralysis
progressive bulbar palsy	25	MND	Motor neuron diseases or related disorders
psychogenic paralysis	12	Paralytic symptoms	Paralysis
quadriplegia	136	Paralytic symptoms	Paralysis
reason for referral: cerebral palsy	1	Cerebral palsy	Cerebral palsy
right hemiplegia	145	Paralytic symptoms	Paralysis
sever operation for erb's palsy	1	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
spastic cerebral palsy	71	Cerebral palsy	Cerebral palsy
spastic diplegic cerebral palsy	3	Cerebral palsy	Cerebral palsy
spastic foot	4	Spasticity	Spinal cord disorders 
spastic hemiplegia	69	Paralytic symptoms	Paralysis
spastic hemiplegic cerebral palsy	2	Cerebral palsy	Cerebral palsy
spastic paraparesis	36	Degenerative myelopathic disorders	Spinal cord disorders 
spastic paraplegia	131	Degenerative myelopathic disorders	Spinal cord disorders 
spastic quadriplegic cerebral palsy	10	Cerebral palsy	Cerebral palsy
spastic tetraplegia	24	Paralytic symptoms	Paralysis
specified palsy nec	211	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
supranuclear paralysis	3	Paralytic symptoms	Paralysis
tardy ulnar nerve palsy	19	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
tetraplegia	120	Paralytic symptoms	Paralysis
tetraplegia - congenital	4	Paralytic symptoms	Paralysis
tropical spastic paraplegia	1	Degenerative myelopathic disorders	Spinal cord disorders 
upper limb flaccidity	1	Paralytic symptoms	Paralysis
upper limb spasticity	35	Spasticity	Spinal cord disorders 
worsening limb spasticity	7	Spasticity	Spinal cord disorders 
